feature,mean_abs_shap
note__dried fruits,2.134029638584252e-05
country_Thailand,2.047195750382741e-05
note__smoke,2.0354914565801324e-05
note__cranberry,2.014858553468734e-05
note__hay,1.9093683667861755e-05
note__sweet orange,1.8836387129818488e-05
note__pimento,1.8763274416420617e-05
note__pine,1.8503234826693297e-05
note__cumin,1.8284389257044962e-05
note__cacao pod,1.7471903024629434e-05
note__davana,1.7361913733852923e-05
note__cedarwood,1.714599957249419e-05
note__mahogany,1.593176537944789e-05
note__chocolate,1.5460243998441448e-05
note__ivy,1.5450293086987303e-05
note__vanilla orchid,1.4529361379556746e-05
note__champagne,1.4263212543017404e-05
note__lily of the valley,1.4067443944119873e-05
note__black tea,1.3408957245666108e-05
note__white woods,1.3408695307663746e-05
note__eucalyptus,1.3009314596335919e-05
note__grass,1.2879290405141966e-05
note__hedione,1.2740020225277961e-05
note__white honey,1.2401523489424982e-05
note__hawthorn,1.2173524181876233e-05
note__amyris,1.1341951563723996e-05
note__kiwi,1.083629712938846e-05
note__fir,1.0737326909583373e-05
country_Czech Republic,9.756437593070467e-06
note__vanilla absolute,9.079581717911438e-06
note__apple blossom,8.916118905471536e-06
note__oak,8.401477869329168e-06
note__watery notes,8.174224951977305e-06
note__white tea,7.677955948094705e-06
note__marigold,7.498606720829919e-06
note__ozonic notes,7.055392081981861e-06
note__seaweed,6.766400540482706e-06
note__cognac,6.6973195525774546e-06
note__solar notes,6.5066309396666e-06
note__passion flower,6.427759888199347e-06
note__elemi resin,6.388098871609316e-06
note__virginian cedar,6.192200836369466e-06
note__almond blossom,5.819647632171722e-06
note__siam benzoin,5.692602517733434e-06
note__cotton candy,5.527763313818497e-06
note__white pepper,5.4476118561861854e-06
note__whiskey,5.259618103969076e-06
note__teak wood,3.94115731758447e-06
note__precious woods,2.8238046953825346e-06
note__tagetes,2.601686570253605e-06
note__pomelo,2.561611587529311e-06
note__pink peony,2.210087593133494e-06
note__rose de mai,1.0505546773961782e-06
note__hibiscus,8.505024143485684e-07
note__white rose,3.9154260909214147e-07
country_Denmark,0.0
gender_nan,0.0
